datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2021/01/01 17:30:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,,,,-17.2498,-57.3052,4.6
2021/01/01 18:18:00,NOAA-20,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal,,,,-19.6063,-56.7657,7.3
2021/01/01 18:18:00,NOAA-20,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal,,,,-19.6045,-56.7659,8.4
2021/01/01 18:18:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.3639,-57.3641,5.9
2021/01/01 22:29:52,NOAA-19,Brasil,MATO GROSSO,POCONE,Pantanal,,,,-17.2532,-57.3146,
2021/01/01 22:30:11,NOAA-19,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.3016,-58.4125,
2021/01/01 17:30:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,,,,-17.2532,-57.3046,4.6
2021/01/01 17:30:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,,,,-17.2526,-57.3052,5
2021/01/01 17:30:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.9456,-57.6548,10.2
2021/01/01 17:30:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,,,,-17.2526,-57.3008,4.6
2021/01/01 17:30:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,,,,-17.2463,-57.3058,8.8
2021/01/01 17:30:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.9428,-57.6592,3.4
2021/01/01 17:30:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.9512,-57.6461,7.7
2021/01/01 17:30:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.9517,-57.6499,7.4
2021/01/01 17:30:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,,,,-17.2491,-57.3014,4.6
2021/01/01 17:30:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,,,,-17.2520,-57.3014,5
2021/01/01 04:54:00,NPP-375,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,,,,-15.7321,-55.9631,0.6
2021/01/02 05:30:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4709,-57.9924,2.3
2021/01/02 05:30:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4715,-57.9878,2.5
2021/01/02 05:30:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4665,-57.9918,3.4
2021/01/02 05:30:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4670,-57.9872,4.2
2021/01/02 04:36:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4613,-57.9769,1.2
2021/01/02 02:25:00,TERRA_M-M,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4340,-57.4830,5.6
2021/01/02 02:25:00,TERRA_M-M,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4530,-57.4930,7.1
2021/01/02 18:00:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.9659,-57.6474,3.3
2021/01/02 18:00:00,NOAA-20,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,,,,-18.7607,-55.8265,10.1
2021/01/02 18:00:00,NOAA-20,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,,,,-18.7550,-55.8278,4
2021/01/02 18:00:00,NOAA-20,Brasil,MATO GROSSO,PORTO ESPERIDIAO,Pantanal,,,,-16.1917,-59.0716,26.3
2021/01/02 18:00:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4499,-57.4923,4.2
2021/01/02 18:00:00,NOAA-20,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,,,,-18.7624,-55.8301,5.4
2021/01/02 18:00:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4559,-57.4946,5.6
2021/01/02 18:00:00,NOAA-20,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,,,,-18.7567,-55.8314,7.3
2021/01/02 18:00:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.9553,-57.6496,6.2
2021/01/02 18:00:00,NOAA-20,Brasil,MATO GROSSO,PORTO ESPERIDIAO,Pantanal,,,,-16.1966,-59.0706,15.4
2021/01/02 18:00:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.9818,-58.3813,5.2
