"biomas.codigo_cnuc,""nome_cnuc"",""grupo_protecao"",""icmbio"",""bipoma_referencial"",""categoria_uc"",""ano_criacao"",""area_uc"",""ano_evento"",""area_queimada"""
"0000.00.1521        ,""APA Bacia Hidrogr fica do Rio Para¡ba do Sul"",""uso sustent vel"",""CR8 Rio de Janeiro/RJ"",""Mata Atlƒntica"",""APA"",""1982"",""292600"",""2019"",""0"""
"0000.00.0007        ,""APA Barra do Rio Mamanguape"",""uso sustent vel"",""CR6 Cabedelo/PB"",""Marinho-Costeiro"",""APA"",""1993"",""14918"",""2019"",""0"""
"0000.00.0020        ,""APA Carste da Lagoa Santa"",""uso sustent vel"",""CR11 Lagoa Santa/MG"",""Cerrado"",""APA"",""1990"",""39957"",""2019"",""0"""
"0000.00.0002        ,""APA Cavernas do Perua‡u"",""uso sustent vel"",""CR11 Lagoa Santa/MG"",""Cerrado"",""APA"",""1989"",""143356"",""2019"",""0"""
"0000.00.0008        ,""APA Chapada do Araripe"",""uso sustent vel"",""CR6 Cabedelo/PB"",""Caatinga"",""APA"",""1997"",""972605"",""2019"",""0"""
"0000.00.1912        ,""APA Costa das Algas"",""uso sustent vel"",""CR7 Porto Seguro/BA"",""Mata Atlƒntica"",""APA"",""2010"",""114805"",""2019"",""0"""
"0000.00.0009        ,""APA Costa dos Corais"",""uso sustent vel"",""CR6 Cabedelo/PB"",""Marinho-Costeiro"",""APA"",""1997"",""404286"",""2019"",""0"""
"0000.00.0003        ,""APA da Bacia do Rio Descoberto"",""uso sustent vel"",""CR11 Lagoa Santa/MG"",""Cerrado"",""APA"",""1983"",""41784"",""2019"",""0"""
"0000.00.0004        ,""APA da Bacia do Rio SÆo Bartolomeu"",""uso sustent vel"",""CR11 Lagoa Santa/MG"",""Cerrado"",""APA"",""1983"",""82681"",""2019"",""0"""
"0000.00.0005        ,""APA da Bacia do Rio SÆo JoÆo - Mico-LeÆo-Dourado"",""uso sustent vel"",""CR8 Rio de Janeiro/RJ"",""Mata Atlƒntica"",""APA"",""2002"",""150375"",""2019"",""0"""
"0000.00.0006        ,""APA da Baleia Franca"",""uso sustent vel"",""CR9 Florian¢polis/SC"",""Marinho-Costeiro"",""APA"",""2000"",""154867"",""2019"",""0"""
"0000.00.0025        ,""APA das Ilhas e V rzeas do Rio Paran "",""uso sustent vel"",""CR9 Florian¢polis/SC"",""Mata Atlƒntica"",""APA"",""1997"",""1005188"",""2019"",""0"""
"0000.00.0028        ,""APA das Nascentes do Rio Vermelho"",""uso sustent vel"",""CR11 Lagoa Santa/MG"",""Cerrado"",""APA"",""2001"",""176324"",""2019"",""0"""
"0000.00.0013        ,""APA de Cairu‡u"",""uso sustent vel"",""CR8 Rio de Janeiro/RJ"",""Marinho-Costeiro"",""APA"",""1983"",""32611"",""2019"",""0"""
"0000.00.0014        ,""APA de Canan‚ia-Iguape-Peru¡be"",""uso sustent vel"",""CR8 Rio de Janeiro/RJ"",""Marinho-Costeiro"",""APA"",""1984"",""202310"",""2019"",""0"""
"0000.00.0015        ,""APA de Fernando de Noronha -Rocas ? SÆo Pedro e SÆo Paulo"",""uso sustent vel"",""CR6 Cabedelo/PB"",""Marinho-Costeiro"",""APA"",""1986"",""884"",""2019"",""0"""
"0000.00.0016        ,""APA de Guapi-Mirim"",""uso sustent vel"",""CR8 Rio de Janeiro/RJ"",""Marinho-Costeiro"",""APA"",""1984"",""13927"",""2019"",""0"""
"0000.00.0017        ,""APA de Guaraque‡aba"",""uso sustent vel"",""CR9 Florian¢polis/SC"",""Mata Atlƒntica"",""APA"",""1985"",""282446"",""2019"",""0"""
"0000.00.0010        ,""APA de Petr¢polis"",""uso sustent vel"",""CR8 Rio de Janeiro/RJ"",""Mata Atlƒntica"",""APA"",""1982"",""68224"",""2019"",""0"""
"0000.00.0018        ,""APA de Pia‡abu‡u"",""uso sustent vel"",""CR6 Cabedelo/PB"",""Marinho-Costeiro"",""APA"",""1983"",""9107"",""2019"",""0"""
"0000.00.0019        ,""APA Delta do Parna¡ba"",""uso sustent vel"",""CR5 Parna¡ba/PI"",""Marinho-Costeiro"",""APA"",""1996"",""307595"",""2019"",""0"""
"0000.00.0022        ,""APA do Igarap‚ Gelado"",""uso sustent vel"",""CR4 Bel‚m/PA"",""Amaz“nia"",""APA"",""1989"",""23285"",""2019"",""0"""
"0000.00.0023        ,""APA do Planalto Central"",""uso sustent vel"",""CR11 Lagoa Santa/MG"",""Cerrado"",""APA"",""2002"",""503423"",""2019"",""0"""
"0000.00.0268        ,""APA do Tapaj¢s"",""uso sustent vel"",""CR3 Santar‚m/PA"",""Amaz“nia"",""APA"",""2006"",""2040331"",""2019"",""0"""
"0000.00.3407        ,""APA dos Campos de Manicor‚"",""uso sustent vel"",""CR1 Porto Velho/RO"",""Amaz“nia"",""APA"",""2016"",""151993"",""2019"",""0"""
"0000.00.0021        ,""APA IbirapuitÆ"",""uso sustent vel"",""CR9 Florian¢polis/SC"",""Pampas"",""APA"",""1992"",""316792"",""2019"",""0"""
"0000.00.0024        ,""APA Meandros do Araguaia"",""uso sustent vel"",""CR10 Cuiab /MT"",""Cerrado"",""APA"",""1998"",""359194"",""2019"",""0"""
"0000.00.0027        ,""APA Morro da Pedreira"",""uso sustent vel"",""CR11 Lagoa Santa/MG"",""Cerrado"",""APA"",""1990"",""131771"",""2019"",""0"""
"0000.00.0029        ,""APA Serra da Ibiapaba"",""uso sustent vel"",""CR5 Parna¡ba/PI"",""Caatinga"",""APA"",""1996"",""1628450"",""2019"",""0"""
"0000.00.0011        ,""APA Serra da Mantiqueira"",""uso sustent vel"",""CR8 Rio de Janeiro/RJ"",""Mata Atlƒntica"",""APA"",""1985"",""421809"",""2019"",""0"""
"0000.00.1683        ,""APA Serra da Meruoca"",""uso sustent vel"",""CR5 Parna¡ba/PI"",""Caatinga"",""APA"",""2008"",""29362"",""2019"",""0"""
"0000.00.0012        ,""APA Serra da Tabatinga"",""uso sustent vel"",""CR5 Parna¡ba/PI"",""Cerrado"",""APA"",""1990"",""35186"",""2019"",""0"""
"0000.00.0030        ,""ARIE Buriti de Vassununga"",""uso sustent vel"",""CR11 Lagoa Santa/MG"",""Mata Atlƒntica"",""ARIE"",""1990"",""151"",""2019"",""0"""
"0000.00.0031        ,""ARIE Capetinga-Taquara"",""uso sustent vel"",""CR11 Lagoa Santa/MG"",""Cerrado"",""ARIE"",""1985"",""2057"",""2019"",""0"""
"0000.00.0032        ,""ARIE Cerrado P‚-de-Gigante"",""uso sustent vel"",""CR8 Rio de Janeiro/RJ"",""Mata Atlƒntica"",""ARIE"",""1990"",""1199"",""2019"",""0"""
"0000.00.0035        ,""ARIE Floresta da Cicuta"",""uso sustent vel"",""CR8 Rio de Janeiro/RJ"",""Mata Atlƒntica"",""ARIE"",""1985"",""125"",""2019"",""0"""
"0000.00.0036        ,""ARIE Ilha do Ameixal"",""uso sustent vel"",""CR8 Rio de Janeiro/RJ"",""Marinho-Costeiro"",""ARIE"",""1985"",""359"",""2019"",""0"""
"0000.00.0037        ,""ARIE Ilhas da Queimada Pequena e Queimada Grande"",""uso sustent vel"",""CR8 Rio de Janeiro/RJ"",""Marinho-Costeiro"",""ARIE"",""1985"",""138"",""2019"",""0"""
"0000.00.0038        ,""ARIE Javari-Buriti"",""uso sustent vel"",""CR2 Manaus/AM"",""Amaz“nia"",""ARIE"",""1985"",""13177"",""2019"",""0"""
"0000.00.0039        ,""ARIE Manguezais da Foz do Rio Mamanguape"",""uso sustent vel"",""CR6 Cabedelo/PB"",""Marinho-Costeiro"",""ARIE"",""1985"",""5770"",""2019"",""0"""
"0000.00.0040        ,""ARIE Mata de Santa Genebra"",""uso sustent vel"",""CR8 Rio de Janeiro/RJ"",""Mata Atlƒntica"",""ARIE"",""1985"",""242"",""2019"",""0"""
"0000.00.0041        ,""ARIE MatÆo de Cosm¢polis"",""uso sustent vel"",""CR8 Rio de Janeiro/RJ"",""Cerrado"",""ARIE"",""1985"",""229"",""2019"",""0"""
"0000.00.0043        ,""ARIE Projeto Dinƒmica Biol¢gica de Fragmentos Florestais"",""uso sustent vel"",""CR2 Manaus/AM"",""Amaz“nia"",""ARIE"",""1985"",""3180"",""2019"",""0"""
"0000.00.0044        ,""ARIE Seringal Nova Esperan‡a"",""uso sustent vel"",""CR1 Porto Velho/RO"",""Amaz“nia"",""ARIE"",""1999"",""2574"",""2019"",""0"""
"0000.00.0045        ,""ARIE Serra da Abelha e Rio da Prata"",""uso sustent vel"",""CR9 Florian¢polis/SC"",""Mata Atlƒntica"",""ARIE"",""1990"",""5017"",""2019"",""0"""
"0000.00.3131        ,""ESEC Alto Mau‚s"",""prote‡Æo integral"",""CR2 Manaus/AM"",""Amaz“nia"",""ESEC"",""2014"",""668160"",""2019"",""0"""
"0000.00.0263        ,""ESEC da Guanabara"",""prote‡Æo integral"",""CR8 Rio de Janeiro/RJ"",""Mata Atlƒntica"",""ESEC"",""2006"",""1936"",""2019"",""0"""
"0000.00.0261        ,""ESEC da Mata Preta"",""prote‡Æo integral"",""CR9 Florian¢polis/SC"",""Mata Atlƒntica"",""ESEC"",""2005"",""6567"",""2019"",""0"""
"0000.00.0075        ,""ESEC da Serra das Araras"",""prote‡Æo integral"",""CR10 Cuiab /MT"",""Cerrado"",""ESEC"",""1982"",""27160"",""2019"",""3482"""
"0000.00.0047        ,""ESEC da Terra do Meio"",""prote‡Æo integral"",""CR3 Santar‚m/PA"",""Amaz“nia"",""ESEC"",""2005"",""3373175"",""2019"",""8202"""
"0000.00.0048        ,""ESEC de Aiuaba"",""prote‡Æo integral"",""CR6 Cabedelo/PB"",""Caatinga"",""ESEC"",""2001"",""11747"",""2019"",""145"""
"0000.00.0050        ,""ESEC de Aracuri-Esmeralda"",""prote‡Æo integral"",""CR9 Florian¢polis/SC"",""Mata Atlƒntica"",""ESEC"",""1981"",""277"",""2019"",""0"""
"0000.00.0051        ,""ESEC de Caracara¡"",""prote‡Æo integral"",""CR2 Manaus/AM"",""Amaz“nia"",""ESEC"",""1982"",""86795"",""2019"",""0"""
"0000.00.0052        ,""ESEC de Carij¢s"",""prote‡Æo integral"",""CR9 Florian¢polis/SC"",""Mata Atlƒntica"",""ESEC"",""1987"",""759"",""2019"",""0"""
"0000.00.0053        ,""ESEC de CuniÆ"",""prote‡Æo integral"",""CR1 Porto Velho/RO"",""Amaz“nia"",""ESEC"",""2001"",""185314"",""2019"",""719"""
"0000.00.0054        ,""ESEC de Guaraque‡aba"",""prote‡Æo integral"",""CR9 Florian¢polis/SC"",""Mata Atlƒntica"",""ESEC"",""1982"",""4476"",""2019"",""0"""
"0000.00.0055        ,""ESEC de Iquˆ"",""prote‡Æo integral"",""CR10 Cuiab /MT"",""Cerrado"",""ESEC"",""1981"",""215971"",""2019"",""0"""
"0000.00.0056        ,""ESEC de Juta¡-Solimäes"",""prote‡Æo integral"",""CR2 Manaus/AM"",""Amaz“nia"",""ESEC"",""1983"",""289514"",""2019"",""0"""
"0000.00.0057        ,""ESEC de Marac "",""prote‡Æo integral"",""CR2 Manaus/AM"",""Amaz“nia"",""ESEC"",""1981"",""103520"",""2019"",""0"""
"0000.00.0058        ,""ESEC de Marac  Jipioca"",""prote‡Æo integral"",""CR4 Bel‚m/PA"",""Amaz“nia"",""ESEC"",""1981"",""60253"",""2019"",""0"""
"0000.00.0059        ,""ESEC de Murici"",""prote‡Æo integral"",""CR6 Cabedelo/PB"",""Mata Atlƒntica"",""ESEC"",""2001"",""6132"",""2019"",""0"""
"0000.00.0061        ,""ESEC de Pirapitinga"",""prote‡Æo integral"",""CR11 Lagoa Santa/MG"",""Cerrado"",""ESEC"",""1987"",""1385"",""2019"",""0"""
"0000.00.0062        ,""ESEC de TaiamÆ"",""prote‡Æo integral"",""CR10 Cuiab /MT"",""Pantanal"",""ESEC"",""1981"",""11555"",""2019"",""0"""
"0000.00.0063        ,""ESEC de Tamoios"",""prote‡Æo integral"",""CR8 Rio de Janeiro/RJ"",""Mata Atlƒntica"",""ESEC"",""1990"",""9361"",""2019"",""0"""
"0000.00.0065        ,""ESEC de Uru‡ui-Una"",""prote‡Æo integral"",""CR5 Parna¡ba/PI"",""Cerrado"",""ESEC"",""1981"",""135122"",""2019"",""39195"""
"0000.00.0066        ,""ESEC do CastanhÆo"",""prote‡Æo integral"",""CR6 Cabedelo/PB"",""Caatinga"",""ESEC"",""2001"",""12575"",""2019"",""0"""
