Ano;Mês;Amazônia;Caatinga;Cerrado;Mata Atlântica;Pampa;Pantanal
2010;1;1.358;292;172;220;8;46
2010;2;1.295;124;287;255;1;83
2010;3;643;70;438;158;14;77
2010;4;659;20;2.456;456;105;222
2010;5;1.782;389;8.749;661;95;64
2010;6;2.305;376;19.283;3.048;79;1.290
2010;7;5.467;1.797;40.451;5.417;141;1.358
2010;8;43.187;4.149;77.548;5.027;271;2.542
2010;9;39.324;10.813;123.410;4.932;34;6.989
2010;10;10.948;21.834;28.644;2.386;33;3.059
2010;11;4.072;9.894;2.501;305;5;517
2010;12;1.774;1.197;886;103;25;1.496
2011;1;68;22;73;41;3;84
2011;2;928;14;101;90;;4
2011;3;97;13;173;98;7;3
2011;4;484;51;896;115;55;2
2011;5;981;92;3.358;644;144;13
2011;6;1.388;690;9.115;1.234;158;59
2011;7;2.023;558;15.969;6.783;253;262
2011;8;6.630;2.451;32.000;3.992;144;695
2011;9;13.333;4.003;61.204;5.195;44;2.117
2011;10;5.110;9.492;10.714;1.170;8;1.003
2011;11;2.991;4.894;820;228;11;1.618
2011;12;6.524;2.411;565;123;3;1.114
2012;1;2.356;917;131;96;47;237
2012;2;327;39;268;107;38;137
2012;3;335;274;742;363;44;157
2012;4;368;782;1.578;423;27;61
2012;5;1.223;1.743;5.964;1.249;761;192
2012;6;2.566;1.989;14.039;1.042;440;159
2012;7;2.461;2.704;25.380;1.637;349;841
2012;8;15.856;3.840;58.899;2.733;236;4433
2012;9;18.648;7.040;84.109;3.541;13;4893
2012;10;8.323;17.685;52.533;3.700;6;1734
2012;11;11.893;4.495;2.347;534;3;241
2012;12;2.510;5.028;1.461;286;6;181
2013;1;3.967;313;190;173;11;120
2013;2;114;91;427;184;35;102
2013;3;652;185;387;287;69;200
2013;4;295;240;612;192;21;62
2013;5;1.366;167;3.938;751;61;98
2013;6;2.287;521;7.259;604;42;59
2013;7;1.849;769;12.698;2.671;303;147
2013;8;6.271;1.935;25.972;2.234;165;430
2013;9;9.103;6.688;40.526;2.582;30;2.878
2013;10;4.323;7.512;16.287;791;15;1.133
2013;11;3.166;6.701;1.954;208;17;1.005
2013;12;2.616;3.272;754;139;14;341
2014;1;2.354;215;380;63;3;58
2014;2;981;15;142;155;9;74
2014;3;1.001;41;230;128;14;8
2014;4;343;126;969;122;36;99
2014;5;1.094;209;3.682;411;57;8
2014;6;2.177;757;10.303;1.236;31;72
2014;7;2.590;1.356;19.028;1.535;376;109
2014;8;15.773;2.165;44.321;3.276;217;268
2014;9;11.967;5.923;47.939;2.856;6;521
2014;10;9.391;8.193;39.817;4.391;13;775
2014;11;8.257;6.105;3.326;91;;176
2014;12;5.396;2.954;619;58;;23
2015;1;2.137;706;721;260;4;112
2015;2;1.474;59;149;145;2;69
2015;3;338;52;347;221;24;19
2015;4;552;331;785;238;144;44
2015;5;514;361;2.352;435;614;54
2015;6;1.434;975;8.156;1.262;260;507
2015;7;2.589;1.325;13.887;507;111;279
2015;8;15.365;3.623;31.122;2.498;148;1.985
2015;9;21.624;9.797;59.355;2.650;30;2.478
2015;10;16.010;10.872;54.654;2.734;12;1.057
2015;11;17.602;12.064;12.162;1.796;;405
2015;12;14.038;7.378;6.816;833;1;862
2016;1;6.082;393;114;131;6;17
2016;2;1.005;34;572;133;19;37
2016;3;2.948;58;679;374;13;6
2016;4;911;79;2.748;982;8;41
2016;5;1.585;334;6.205;873;61;103
2016;6;2.175;603;11.257;2.276;671;159
2016;7;4.514;1.428;21.514;7.174;323;1.056
2016;8;15.462;2.583;40.110;3.175;328;2.166
2016;9;13.415;3.732;41.613;2.347;46;4.656
2016;10;7.007;10.305;18.874;839;34;2.594
2016;11;7.131;10.512;6.515;189;4;329
2016;12;2.904;3.248;941;115;14;81
2017;1;616;442;225;161;7;374
2017;2;343;26;262;189;12;69
2017;3;131;103;574;111;5;87
2017;4;309;81;1.021;74;23;30
2017;5;898;179;3.727;200;90;114
2017;6;1.375;240;6.619;830;283;171
2017;7;4.534;593;11.181;4.763;942;829
2017;8;17.630;1.648;28.321;3.516;188;2.162
2017;9;34.057;3.148;65.019;3.808;15;4.763
2017;10;9.596;12.303;37.656;2.425;12;1.036
2017;11;12.834;6.556;2.437;99;12;187
2017;12;8.917;4.385;1.310;84;19;7
2018;1;2.133;637;192;27;17;22
2018;2;1.260;14;34;51;21;7
2018;3;1.388;53;633;330;32;7
2018;4;617;28;603;308;76;11
2018;5;896;149;3.354;1.352;130;53
2018;6;1.605;615;7.087;1.951;93;86
2018;7;3.606;1.309;10.910;4.123;85;318
2018;8;6.048;2.700;19.082;1.674;125;669
2018;9;12.852;7.616;33.255;2.153;4;1.583
2018;10;6.533;5.047;8.632;1.106;19;113
2018;11;4.889;5.922;1.155;84;5;3
2018;12;1.344;1.342;437;136;8;229
2019;1;2.983;120;508;270;4;531
2019;2;1.598;23;316;290;15;538
